improvement_id	priority	horizon	capability	current_problem	proposed_change	dependencies	acceptance_evidence	primary_metric	status
CD-P0-001	P0	0-3 months	Current-v5 evaluation baseline	Decomposition quality and overhead cannot be compared safely across architecture changes from the existing small historical benchmark set.	Create frozen representative specification/repository cohorts and replayable end-to-end evaluations for correctness, maintainability, cost, latency, routing, context, recovery, and Oracle escapes.	None	Versioned benchmark manifests and reproducible baseline reports for every cohort	First-pass Luna success plus defect escapes plus total cost	PROPOSED
CD-P0-002	P0	0-3 months	Minimal Luna execution contract	The fixed worker protocol and launcher prompt consume substantial Luna attention and expose transaction mechanics to the model.	Generate leaf-type-specific prompts and move claim, heartbeat, fingerprint, validation capture, commit, impact-envelope copying, and result publication into a deterministic worker runner.	CD-P0-001	Protocol-token reduction with unchanged scope, Git, architecture, and evidence conformance	Fixed prompt tokens and worker protocol failure rate	PROPOSED
CD-P0-003	P0	0-4 months	Typed obligation facets	Integer complexity declarations and keyword floors do not prove semantic atomicity or split conservation.	Extend normalized IR with behavior, failure, state, ownership, concurrency, artifact, and validation facet IDs; derive node counts from allocated facets.	CD-P0-001	Property tests prove child facet union equals parent facets and Luna nodes satisfy typed fan-in rules	TASK_TOO_BROAD rate and facet-conservation failures	PROPOSED
CD-P0-004	P0	1-4 months	Repair-authority closure	A planner prompt asks whether validation failures could require edits outside allowed scope, but the property is not generally machine-checked.	Use repository/build/architecture graphs to calculate producer, consumer, representation, test, and build repair seams; require explicit ownership or prerequisite nodes for each seam.	CD-P0-003	Analyzer rejects known scope-incomplete fixtures and explains the missing seam	SCOPE_INCOMPLETE rate and remediation scope expansions	PROPOSED
CD-P1-001	P1	2-6 months	Canonical versioned artifact schema	TSV, Markdown, and key/value contracts plus validators are repeated across large shell scripts and prompts.	Define canonical typed schemas and generate parsers, serializers, templates, migrations, and diagnostics while retaining human-readable filesystem projections.	CD-P0-001	Round-trip, compatibility, and migration suites cover every durable artifact version	Schema repair turns and artifact-validation defects	PROPOSED
CD-P1-002	P1	2-5 months	Deterministic node-local criteria	The Terra manager adds a late decomposition layer after the Sol DAG is accepted.	Generate a default node acceptance criterion from DAG evidence; require typed ordered evidence slices when a node legitimately needs several criteria.	CD-P1-001	Published roots require no semantic criterion transcription for single-boundary nodes	Manager publication retries and criterion drift findings	PROPOSED
CD-P1-003	P1	2-6 months	Context Closure promotion	Repository Context Closure is optional and evidence-class recall is not yet an admission requirement for most Luna leaves.	Run advisory cohorts, measure path and evidence-class recall and false blocks, then promote qualified leaf cohorts to required admission.	CD-P0-001	Promotion reports pass minimum sample, recall, success, and false-block thresholds	CONTEXT_INCOMPLETE rate and closure file/evidence recall	PROPOSED
CD-P1-004	P1	3-7 months	Stratified complexity calibration	Current accepted-success tokens-per-score calibration is model-wide and does not condition on leaf type, language, validation, context, or source-change status.	Build confidence-aware models for tokens, actions, files, duration, and first-pass completion by cohort with conservative shrinkage for sparse data.	CD-P0-001,CD-P0-003	Offline replay improves tail prediction without increasing admitted-leaf failures	Actual/effective p95 error and first-pass success by cohort	PROPOSED
CD-P1-005	P1	3-7 months	Assurance profiles	Final Oracle audit is optional even when obligation or architecture risk is high.	Define prototype, standard, and high-assurance profiles with risk-based Oracle requirements and deterministic sampling for low-risk cohorts.	CD-P0-001	Profile policy is versioned and high-assurance projects cannot complete without required audit	Oracle escape rate and audit cost per obligation	PROPOSED
CD-P1-006	P1	4-9 months	Formal state journal and reducer	Logical state is distributed across many marker, ledger, and directory-presence conventions.	Add a versioned append-only event schema and deterministic reducer; keep current files as compatible projections and recovery aids.	CD-P1-001	Crash-point replay produces one valid state for every transaction boundary	Invalid state combinations and recovery defects	PROPOSED
CD-P1-007	P1	4-9 months	Orchestrator modularization	Core state, publication, worker, and architecture logic is concentrated in several thousand-line shell files.	Extract schema, graph, state, evidence, worker, manager, and architecture modules behind compatibility-tested CLIs.	CD-P1-001,CD-P1-006	Existing regression suites and benchmark replays pass through compatibility entry points	Change fan-out and regression rate per orchestrator change	PROPOSED
CD-P1-008	P1	2-6 months	Planning and review economy	Strong separation of roles can cause scaffolding cost to dominate bounded implementation.	Cache digest-addressed semantic capsules, generate mechanical fields, and use deterministic or cheaper checks before invoking Terra semantic review.	CD-P0-001,CD-P1-001	Equivalent acceptance decisions with lower scaffolding tokens and latency	Scaffolding tokens and dollars per verified item	PROPOSED
CD-P2-001	P2	6-12 months	Isolated parallel DAG waves	The scheduler serializes all nodes even when the DAG contains independent branches.	Add per-leaf Git worktrees and builds, disjoint mutation admission, producer artifact publication, integration ownership, deterministic merge order, and post-merge gates.	CD-P0-001,CD-P0-004,CD-P1-006	Parallel cohorts reduce critical-path time without higher conflict, rework, gate failure, or defect escape	Lead-time reduction versus merge/rework overhead	PROPOSED
CD-P2-002	P2	6-12 months	Adaptive decomposition controller	Typed worker failures are recorded but do not yet drive a unified empirically evaluated split/context/scope policy.	Map each typed outcome to deterministic graph transformations or bounded planner patches and evaluate them by later accepted evidence.	CD-P0-003,CD-P0-004,CD-P1-003,CD-P1-004	Replay fixtures show correct distinct handling of task, context, scope, validation, and resource failures	Replans producing verified gain before escalation	PROPOSED
CD-P2-003	P2	Ongoing	Architecture entropy control	Repeated feature work can increase repository search breadth and context requirements even when each leaf passes.	Run periodic reasoning-index scorecards and trigger focused architecture rebuilds using change fan-out, search breadth, context, coupling, and regression evidence.	CD-P0-001	Before/after scorecards and fresh-agent benchmark improve without behavioral regression	Context bytes, search breadth, fan-out, and ownership ambiguity	PROPOSED
